# 河洛几何验证用粒子质量数据 (MeV)
# 来源: PDG-2025, 筛选自 v7.0 有效匹配对
# 格式: 质量, 粒子名称, PDGID(可选)
3414.75, chi_c0(1P)
3922.5, chi_c2(3930)
4020.0, T_c_cbar(4020)
4660.0, psi(4660)
2536.0, D_s1(2536)+-
3842.0, psi_3(3842)
2.16, u_quark
700.0, K_0*(700)
2286.46, Lambda_c+
2628.1, Lambda_c(2625)+
6100.0, Xi_b(6100)-
1197.45, Sigma-
1810.0, f_2(1810)
2695.2, Omega_c0
2500.0, K_4(2500)
2860.0, D_s3*(2860)+
1570.0, rho(1570)
1770.0, f_0(1770)
2080.0, Lambda(2080)
2740.0, D_2(2740)0
2320.0, K_3(2320)
3065.0, Omega_c(3065)0
3050.0, Omega_c(3050)0
5279.34, B+
6063.0, B_sJ(6063)0
1115.68, Lambda
1285.0, f_1(1285)
2340.0, f_2(2340)
938.27, proton
939.57, neutron
134.98, pion0
139.57, pion+
493.68, kaon+
497.61, kaon0
547.86, eta
957.78, eta_prime
775.26, rho(770)
782.65, omega(782)
1019.46, phi(1020)
1864.84, D0
1869.66, D+
1968.35, Ds+
3096.9, J/psi
3686.1, psi(3686)
5279.65, B0
5366.88, Bs0
9460.0, Upsilon(9460)
10023.0, Upsilon(10023)
91187.6, Z_boson
80379.0, W_boson
125250.0, Higgs
172760.0, top_quark
